customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100000,40.0,Female,West,Primary,Salaried,9693.54,5165.89,Car,616.0,1,139,38.29018581482779,2017-10-12,1
100001,34.0,Male,West,Secondary,Self-Employed,141277.97,23462.27,Other,280.0,0,48,1.5286221689782167,2016-04-23,0
100002,41.0,Male,North,Graduate,Salaried,16660.75,6626.64,Car,724.0,0,40,70.3637608342969,2020-07-25,0
100003,50.0,Female,South,Secondary,Salaried,27720.64,9000.1,Education,562.0,0,36,25.903572251666816,2020-01-20,0
100004,33.0,Male,West,Primary,,59256.48,18437.42,Car,534.0,0,156,21.212645194747566,2019-09-07,0
100005,,Male,North,Post-Graduate,Salaried,17080.77,3865.05,Education,596.0,2,40,25.216477664018804,2018-04-05,0
100006,51.0,Female,North,Post-Graduate,Salaried,13469.01,3854.02,Education,725.0,0,38,12.92188645961485,2017-08-18,0
100007,43.0,Male,North,Graduate,Salaried,8133.91,1253.24,Car,623.0,1,39,8.966702049864846,2025-03-01,0
100008,30.0,Female,East,Secondary,Self-Employed,,36932.67,Business,631.0,0,38,30.73879790586889,2017-05-13,0
100009,40.0,Female,North,Secondary,Self-Employed,28761.87,6787.3,Education,679.0,0,41,32.0540835024003,2023-01-24,0
100010,30.0,Female,West,Primary,Salaried,462670.75,1808443.4933684622,Business,641.0,0,34,34.02976221244023,2016-06-04,0
100011,30.0,Male,South,Graduate,Self-Employed,20079.82,2495.42,Car,724.0,2,33,29.389039627963644,2016-05-23,0
100012,37.0,Female,South,Post-Graduate,Salaried,21285.77,9059.14,Education,636.0,1,123,28.50441594330893,2017-06-24,0
100013,18.0,Male,North,Graduate,Self-Employed,28300.66,5963.09,Home,637.0,0,33,8.344631806383696,2019-08-10,0
100014,18.0,Female,South,Secondary,Self-Employed,54039.07,7615.77,Business,786.0,0,36,21.227358995759275,2019-11-05,0
100015,,Male,East,Graduate,Salaried,30539.99,7647.31,Business,653.0,1,49,32.90294268845584,2024-06-25,0
100016,25.0,Male,East,Secondary,Salaried,72607.29,15409.91,Other,664.0,1,38,167.6539583415371,2016-05-03,0
100017,38.0,Male,East,Graduate,Salaried,20334.7,7646.18,Education,637.0,0,46,35.25903573325003,2025-06-07,0
100018,26.0,Female,East,Graduate,Salaried,14730.59,4105.24,Other,,0,32,27.566228763657236,2019-04-09,0
100019,21.0,Female,West,Graduate,Self-Employed,10555.3,6153.71,Business,702.0,1,39,27.427435819367197,2025-02-26,0
100020,50.0,Male,West,Secondary,Salaried,7510.79,4369.59,Home,750.0,1,40,33.730837556343864,2023-01-09,0
100021,33.0,Male,East,Primary,Self-Employed,29392.64,9460.25,Car,725.0,1,34,38.73257572166828,2019-08-21,0
100022,36.0,Female,North,Post-Graduate,Unemployed,34967.37,17397.8,Education,617.0,0,32,42.74438152561926,2023-07-12,0
100023,21.0,Male,North,Secondary,Salaried,26844.21,2862.51,Business,640.0,0,41,65.69476605030943,2020-08-14,1
100024,30.0,Male,North,Primary,Self-Employed,120292.25,44977.97,Home,671.0,0,44,45.54807425700345,2015-12-30,0
100025,36.0,Female,East,Secondary,Self-Employed,118821.67,56042.19,Business,669.0,11,36,3.3520093495911105,2018-08-08,0
100026,23.0,Male,South,Primary,Unemployed,34033.9,7095.1,Education,,1,46,10.490481514985007,2023-01-28,0
100027,39.0,Other,South,Graduate,Unemployed,10591.62,1383.12,Education,662.0,0,41,25.05635775240691,2021-09-03,0
100028,29.0,Male,West,Post-Graduate,,28270.97,5031.09,Car,628.0,0,29,16.267493568523676,2020-08-12,0
100029,32.0,Male,West,Secondary,Salaried,27531.82,8835.62,Education,658.0,0,144,37.0289434886696,2018-07-13,0
100030,29.0,Male,West,Graduate,Self-Employed,26297.97,9288.07,Home,710.0,0,35,38.93866232142542,2019-07-20,0
100031,54.0,Female,South,Graduate,Salaried,25457.86,7394.05,Home,825.0,0,178,21.296773406341465,2021-08-12,0
100032,,Male,East,Graduate,Self-Employed,26375.33,8439.76,Business,620.0,0,40,51.414153567330416,2017-08-16,0
100033,24.0,,North,Post-Graduate,,32653.97,10942.92,Car,664.0,0,48,56.17560022096482,2017-06-18,0
100034,43.0,,North,Post-Graduate,Salaried,26756.21,12969.23,Car,628.0,1,48,2.6129029642007566,2022-05-08,0
100035,23.0,Female,North,Primary,Salaried,52554.86,8020.97,Car,668.0,0,33,4.280196818480814,2017-07-13,0
100036,37.0,,South,Graduate,Salaried,59352.52,28754.83,Education,845.0,0,30,49.75032272807094,2021-12-29,0
100037,18.0,Male,South,Graduate,Salaried,21470.58,9539.67,Home,638.0,0,56,45.656921737200605,2021-09-26,0
100038,22.0,Female,West,Post-Graduate,,,16999.44,Car,527.0,0,40,39.047732716859784,2020-05-21,0
100039,37.0,Male,North,Graduate,,20310.74,9489.87,Education,712.0,0,32,30.196915366366632,2016-08-16,1
100040,,Male,East,Post-Graduate,Unemployed,12194.18,4088.66,Education,658.0,1,47,28.143897372206293,2023-09-14,0
100041,37.0,Female,East,Graduate,Unemployed,60329.55,12409.79,Other,629.0,1,39,39.6587898016922,2025-01-03,1
100042,34.0,Male,South,Secondary,Salaried,23133.3,8520.33,Education,616.0,2,42,33.17657956463084,2018-01-04,0
100043,32.0,Female,South,Graduate,Self-Employed,57525.76,33306.9,Education,669.0,0,35,53.53900872557137,2022-04-29,0
100044,20.0,Male,South,Post-Graduate,Self-Employed,6503.01,2563.9,Education,608.0,1,48,17.73760892710579,2017-03-24,0
100045,28.0,Female,East,Post-Graduate,Salaried,135526.12,14301.2,Home,615.0,0,34,30.323918313387487,2025-04-11,0
100046,30.0,Male,South,Primary,Salaried,76175.08,9891.75,Other,575.0,0,51,46.026035669677256,2020-11-15,0
100047,46.0,Male,North,Graduate,Salaried,13394.15,7988.7,Education,609.0,0,43,32.95952736825138,2022-01-14,0
100048,38.0,Female,North,Secondary,Self-Employed,,31129.27,Home,688.0,0,33,42.116868035297635,2025-09-16,0
100049,18.0,Female,East,Primary,Salaried,169527.02,20855.65,Other,567.0,2,40,41.855192557477494,2019-02-27,0
100050,38.0,Male,West,Graduate,Self-Employed,24662.79,6819.56,Home,719.0,0,215,22.352862310258388,2017-01-25,0
100051,31.0,Male,South,Secondary,Salaried,22824.89,13344.77,Other,579.0,0,24,11.627980861767629,2016-08-31,0
100052,28.0,Female,East,Post-Graduate,Self-Employed,7259.84,1882.75,Other,659.0,2,43,16.539905285063377,2019-10-06,0
100053,41.0,Male,East,Secondary,Salaried,33601.71,10246.57,Education,679.0,0,37,10.492204136925203,2020-10-22,0
100054,45.0,Female,West,Post-Graduate,Salaried,37078.0,15462.95,Home,699.0,1,42,3.4077254579367917,2017-03-30,0
100055,44.0,Female,West,Primary,Salaried,78853.69,8836.02,Car,699.0,0,48,49.65170455382617,2019-11-05,0
100056,27.0,Male,East,Secondary,Salaried,14525.95,7973.03,Car,645.0,0,49,3.948414123629945,2017-08-09,0
100057,32.0,Male,East,Secondary,Self-Employed,13183.55,4742.41,Car,640.0,0,37,63.50628404422675,2022-05-09,0
100058,38.0,Female,West,Secondary,Salaried,63813.82,21275.88,Education,686.0,0,58,20.499828031010296,2020-08-12,0
100059,45.0,Male,South,Primary,Self-Employed,99542.4,52793.64,Other,667.0,1,41,24.989604308054496,2023-08-07,0
100060,,Male,South,Secondary,Salaried,12657.85,7297.74,Education,629.0,0,46,2.731917016626653,2022-02-03,0
100061,33.0,Female,North,Graduate,Salaried,105679.49,32941.63,Business,672.0,0,43,36.92220337095722,2018-08-27,0
100062,24.0,Male,West,Secondary,Salaried,45843.48,8537.0,Business,640.0,1,34,25.303939149237625,2022-03-08,0
100063,23.0,Female,West,Graduate,Salaried,106553.14,54113.51,Other,614.0,0,42,31.099757435203777,2021-12-06,0
